image,class_id,species,breed_id
english_setter_147,14,2,8
yorkshire_terrier_84,37,2,25
pomeranian_185,25,2,17
japanese_chin_75,18,2,12
leonberger_59,20,2,14
keeshond_57,19,2,13
Bengal_172,6,1,2
newfoundland_18,23,2,16
saint_bernard_112,29,2,19
american_pit_bull_terrier_82,3,2,2
Maine_Coon_141,21,1,7
saint_bernard_119,29,2,19
basset_hound_148,4,2,3
american_pit_bull_terrier_195,3,2,2
saint_bernard_185,29,2,19
basset_hound_103,4,2,3
wheaten_terrier_150,36,2,24
havanese_11,17,2,11
Bombay_29,8,1,4
Siamese_48,33,1,11
miniature_pinscher_98,22,2,15
newfoundland_37,23,2,16
Persian_104,24,1,8
Maine_Coon_201,21,1,7
havanese_87,17,2,11
yorkshire_terrier_121,37,2,25
Birman_166,7,1,3
Siamese_240,33,1,11
japanese_chin_27,18,2,12
miniature_pinscher_116,22,2,15
miniature_pinscher_175,22,2,15
Bombay_174,8,1,4
scottish_terrier_75,31,2,21
great_pyrenees_61,16,2,10
leonberger_78,20,2,14
pomeranian_181,25,2,17
pug_121,26,2,18
scottish_terrier_105,31,2,21
Sphynx_171,34,1,12
american_bulldog_197,2,2,1
scottish_terrier_88,31,2,21
beagle_122,5,2,4
american_bulldog_200,2,2,1
British_Shorthair_263,10,1,5
boxer_56,9,2,5
leonberger_22,20,2,14
havanese_49,17,2,11
havanese_23,17,2,11
american_pit_bull_terrier_179,3,2,2
basset_hound_185,4,2,3
British_Shorthair_25,10,1,5
Persian_258,24,1,8
english_cocker_spaniel_166,13,2,7
Egyptian_Mau_113,12,1,6
Maine_Coon_16,21,1,7
great_pyrenees_76,16,2,10
Persian_128,24,1,8
yorkshire_terrier_41,37,2,25
american_bulldog_123,2,2,1
great_pyrenees_167,16,2,10
scottish_terrier_165,31,2,21
Siamese_222,33,1,11
havanese_126,17,2,11
pug_18,26,2,18
Egyptian_Mau_176,12,1,6
leonberger_133,20,2,14
British_Shorthair_67,10,1,5
havanese_43,17,2,11
scottish_terrier_171,31,2,21
pug_103,26,2,18
Abyssinian_77,1,1,1
american_pit_bull_terrier_170,3,2,2
keeshond_50,19,2,13
Egyptian_Mau_220,12,1,6
Ragdoll_1,27,1,9
german_shorthaired_74,15,2,9
Bombay_97,8,1,4
keeshond_48,19,2,13
english_setter_45,14,2,8
samoyed_158,30,2,20
saint_bernard_70,29,2,19
samoyed_156,30,2,20
Bombay_205,8,1,4
miniature_pinscher_144,22,2,15
Siamese_125,33,1,11
basset_hound_53,4,2,3
basset_hound_70,4,2,3
basset_hound_34,4,2,3
american_bulldog_78,2,2,1
american_pit_bull_terrier_148,3,2,2
english_setter_16,14,2,8
Russian_Blue_239,28,1,10
Abyssinian_58,1,1,1
Egyptian_Mau_223,12,1,6
Persian_74,24,1,8
havanese_40,17,2,11
japanese_chin_145,18,2,12
Russian_Blue_71,28,1,10
Birman_14,7,1,3
Egyptian_Mau_78,12,1,6
scottish_terrier_95,31,2,21
Persian_30,24,1,8
Birman_176,7,1,3
samoyed_62,30,2,20
havanese_89,17,2,11
great_pyrenees_11,16,2,10
newfoundland_10,23,2,16
Russian_Blue_112,28,1,10
Russian_Blue_78,28,1,10
shiba_inu_189,32,2,22
Bombay_145,8,1,4
chihuahua_130,11,2,6
yorkshire_terrier_101,37,2,25
wheaten_terrier_155,36,2,24
havanese_134,17,2,11
yorkshire_terrier_102,37,2,25
Abyssinian_133,1,1,1
wheaten_terrier_188,36,2,24
miniature_pinscher_62,22,2,15
english_setter_69,14,2,8
Sphynx_23,34,1,12
wheaten_terrier_76,36,2,24
english_cocker_spaniel_51,13,2,7
keeshond_143,19,2,13
english_cocker_spaniel_53,13,2,7
samoyed_106,30,2,20
boxer_125,9,2,5
miniature_pinscher_128,22,2,15
Abyssinian_86,1,1,1
miniature_pinscher_50,22,2,15
great_pyrenees_46,16,2,10
Russian_Blue_91,28,1,10
Sphynx_186,34,1,12
leonberger_97,20,2,14
Maine_Coon_136,21,1,7
Bombay_78,8,1,4
basset_hound_47,4,2,3
Ragdoll_57,27,1,9
miniature_pinscher_133,22,2,15
Bombay_129,8,1,4
english_setter_61,14,2,8
newfoundland_81,23,2,16
Ragdoll_250,27,1,9
staffordshire_bull_terrier_199,35,2,23
german_shorthaired_35,15,2,9
Ragdoll_171,27,1,9
pomeranian_163,25,2,17
Siamese_218,33,1,11
leonberger_44,20,2,14
keeshond_177,19,2,13
shiba_inu_74,32,2,22
yorkshire_terrier_89,37,2,25
english_setter_148,14,2,8
Egyptian_Mau_187,12,1,6
Birman_198,7,1,3
miniature_pinscher_192,22,2,15
wheaten_terrier_64,36,2,24
beagle_86,5,2,4
British_Shorthair_82,10,1,5
British_Shorthair_39,10,1,5
scottish_terrier_125,31,2,21
staffordshire_bull_terrier_62,35,2,23
Bombay_193,8,1,4
english_cocker_spaniel_194,13,2,7
havanese_124,17,2,11
yorkshire_terrier_94,37,2,25
japanese_chin_86,18,2,12
shiba_inu_41,32,2,22
shiba_inu_154,32,2,22
samoyed_133,30,2,20
pomeranian_192,25,2,17
pomeranian_157,25,2,17
Ragdoll_172,27,1,9
Abyssinian_100,1,1,1
Birman_57,7,1,3
yorkshire_terrier_9,37,2,25
saint_bernard_122,29,2,19
english_cocker_spaniel_196,13,2,7
Russian_Blue_166,28,1,10
Russian_Blue_10,28,1,10
scottish_terrier_72,31,2,21
american_pit_bull_terrier_55,3,2,2
japanese_chin_41,18,2,12
japanese_chin_7,18,2,12
staffordshire_bull_terrier_94,35,2,23
Bombay_173,8,1,4
shiba_inu_24,32,2,22
wheaten_terrier_126,36,2,24
Persian_44,24,1,8
japanese_chin_19,18,2,12
keeshond_191,19,2,13
Ragdoll_204,27,1,9
american_pit_bull_terrier_146,3,2,2
beagle_64,5,2,4
keeshond_197,19,2,13
Siamese_153,33,1,11
havanese_106,17,2,11
havanese_88,17,2,11
pug_168,26,2,18
chihuahua_195,11,2,6
saint_bernard_194,29,2,19
pug_200,26,2,18
Bengal_108,6,1,2
english_setter_50,14,2,8
samoyed_169,30,2,20
german_shorthaired_124,15,2,9
great_pyrenees_147,16,2,10
shiba_inu_159,32,2,22
yorkshire_terrier_149,37,2,25
scottish_terrier_199,31,2,21
great_pyrenees_92,16,2,10
Birman_12,7,1,3
leonberger_23,20,2,14
american_bulldog_7,2,2,1
american_pit_bull_terrier_194,3,2,2
keeshond_46,19,2,13
Abyssinian_141,1,1,1
pug_38,26,2,18
Maine_Coon_189,21,1,7
saint_bernard_27,29,2,19
boxer_62,9,2,5
english_cocker_spaniel_85,13,2,7
pug_47,26,2,18
Abyssinian_166,1,1,1
Abyssinian_142,1,1,1
pug_55,26,2,18
beagle_166,5,2,4
boxer_155,9,2,5
boxer_134,9,2,5
samoyed_55,30,2,20
Siamese_171,33,1,11
german_shorthaired_168,15,2,9
german_shorthaired_20,15,2,9
British_Shorthair_27,10,1,5
havanese_131,17,2,11
Russian_Blue_205,28,1,10
Birman_6,7,1,3
leonberger_92,20,2,14
keeshond_89,19,2,13
pomeranian_51,25,2,17
beagle_196,5,2,4
wheaten_terrier_147,36,2,24
german_shorthaired_42,15,2,9
pug_13,26,2,18
Abyssinian_3,1,1,1
american_pit_bull_terrier_193,3,2,2
Birman_56,7,1,3
american_pit_bull_terrier_138,3,2,2
english_cocker_spaniel_100,13,2,7
american_pit_bull_terrier_62,3,2,2
Sphynx_33,34,1,12
great_pyrenees_51,16,2,10
german_shorthaired_126,15,2,9
miniature_pinscher_92,22,2,15
Birman_119,7,1,3
leonberger_143,20,2,14
boxer_147,9,2,5
Abyssinian_232,1,1,1
basset_hound_19,4,2,3
scottish_terrier_109,31,2,21
shiba_inu_71,32,2,22
staffordshire_bull_terrier_59,35,2,23
samoyed_198,30,2,20
leonberger_47,20,2,14
Egyptian_Mau_163,12,1,6
english_setter_39,14,2,8
Abyssinian_43,1,1,1
american_bulldog_127,2,2,1
american_pit_bull_terrier_116,3,2,2
havanese_170,17,2,11
keeshond_42,19,2,13
Abyssinian_65,1,1,1
boxer_65,9,2,5
basset_hound_96,4,2,3
Bombay_83,8,1,4
Siamese_61,33,1,11
Ragdoll_49,27,1,9
basset_hound_55,4,2,3
Bombay_34,8,1,4
saint_bernard_188,29,2,19
yorkshire_terrier_187,37,2,25
scottish_terrier_154,31,2,21
chihuahua_136,11,2,6
english_setter_21,14,2,8
american_bulldog_73,2,2,1
samoyed_196,30,2,20
english_cocker_spaniel_129,13,2,7
saint_bernard_109,29,2,19
wheaten_terrier_52,36,2,24
scottish_terrier_141,31,2,21
Maine_Coon_76,21,1,7
samoyed_194,30,2,20
newfoundland_54,23,2,16
samoyed_14,30,2,20
staffordshire_bull_terrier_57,35,2,23
german_shorthaired_134,15,2,9
Russian_Blue_193,28,1,10
Siamese_104,33,1,11
staffordshire_bull_terrier_176,35,2,23
saint_bernard_20,29,2,19
shiba_inu_16,32,2,22
american_pit_bull_terrier_15,3,2,2
Egyptian_Mau_151,12,1,6
Abyssinian_161,1,1,1
havanese_112,17,2,11
Maine_Coon_167,21,1,7
leonberger_96,20,2,14
British_Shorthair_189,10,1,5
Russian_Blue_172,28,1,10
staffordshire_bull_terrier_45,35,2,23
Persian_171,24,1,8
Siamese_227,33,1,11
chihuahua_59,11,2,6
Maine_Coon_137,21,1,7
Russian_Blue_157,28,1,10
japanese_chin_99,18,2,12
english_cocker_spaniel_66,13,2,7
Russian_Blue_185,28,1,10
american_pit_bull_terrier_33,3,2,2
german_shorthaired_29,15,2,9
Maine_Coon_123,21,1,7
wheaten_terrier_139,36,2,24
boxer_55,9,2,5
miniature_pinscher_113,22,2,15
german_shorthaired_46,15,2,9
chihuahua_193,11,2,6
Russian_Blue_146,28,1,10
Bengal_190,6,1,2
Abyssinian_152,1,1,1
english_setter_96,14,2,8
samoyed_144,30,2,20
chihuahua_8,11,2,6
Bengal_116,6,1,2
pug_6,26,2,18
leonberger_145,20,2,14
Bengal_153,6,1,2
British_Shorthair_38,10,1,5
saint_bernard_32,29,2,19
yorkshire_terrier_171,37,2,25
great_pyrenees_28,16,2,10
saint_bernard_153,29,2,19
boxer_114,9,2,5
scottish_terrier_38,31,2,21
boxer_24,9,2,5
havanese_127,17,2,11
english_setter_100,14,2,8
japanese_chin_23,18,2,12
english_cocker_spaniel_35,13,2,7
samoyed_171,30,2,20
miniature_pinscher_138,22,2,15
miniature_pinscher_125,22,2,15
wheaten_terrier_3,36,2,24
american_pit_bull_terrier_180,3,2,2
Russian_Blue_226,28,1,10
samoyed_150,30,2,20
Bengal_51,6,1,2
saint_bernard_29,29,2,19
english_setter_87,14,2,8
Bombay_143,8,1,4
Egyptian_Mau_118,12,1,6
miniature_pinscher_48,22,2,15
Maine_Coon_81,21,1,7
great_pyrenees_68,16,2,10
Maine_Coon_195,21,1,7
english_setter_77,14,2,8
beagle_119,5,2,4
havanese_195,17,2,11
Abyssinian_151,1,1,1
Sphynx_156,34,1,12
wheaten_terrier_143,36,2,24
Ragdoll_131,27,1,9
miniature_pinscher_77,22,2,15
basset_hound_87,4,2,3
Ragdoll_75,27,1,9
beagle_135,5,2,4
american_bulldog_190,2,2,1
chihuahua_30,11,2,6
shiba_inu_28,32,2,22
japanese_chin_154,18,2,12
Siamese_254,33,1,11
havanese_4,17,2,11
Russian_Blue_84,28,1,10
keeshond_106,19,2,13
keeshond_160,19,2,13
yorkshire_terrier_58,37,2,25
pomeranian_4,25,2,17
Abyssinian_174,1,1,1
german_shorthaired_157,15,2,9
miniature_pinscher_147,22,2,15
pomeranian_18,25,2,17
Siamese_164,33,1,11
saint_bernard_128,29,2,19
japanese_chin_58,18,2,12
Maine_Coon_110,21,1,7
newfoundland_79,23,2,16
staffordshire_bull_terrier_10,35,2,23
havanese_80,17,2,11
pug_180,26,2,18
great_pyrenees_164,16,2,10
Ragdoll_35,27,1,9
staffordshire_bull_terrier_118,35,2,23
Bombay_185,8,1,4
British_Shorthair_46,10,1,5
Sphynx_238,34,1,12
Abyssinian_22,1,1,1
saint_bernard_41,29,2,19
Persian_25,24,1,8
Bengal_83,6,1,2
great_pyrenees_25,16,2,10
Birman_185,7,1,3
newfoundland_146,23,2,16
samoyed_31,30,2,20
Abyssinian_202,1,1,1
american_pit_bull_terrier_17,3,2,2
great_pyrenees_200,16,2,10
beagle_59,5,2,4
english_setter_105,14,2,8
Abyssinian_89,1,1,1
miniature_pinscher_127,22,2,15
scottish_terrier_37,31,2,21
yorkshire_terrier_140,37,2,25
great_pyrenees_82,16,2,10
english_cocker_spaniel_5,13,2,7
Birman_143,7,1,3
american_pit_bull_terrier_97,3,2,2
wheaten_terrier_62,36,2,24
Egyptian_Mau_178,12,1,6
Bengal_92,6,1,2
beagle_170,5,2,4
japanese_chin_157,18,2,12
Persian_75,24,1,8
japanese_chin_47,18,2,12
scottish_terrier_97,31,2,21
basset_hound_16,4,2,3
english_setter_176,14,2,8
Bengal_26,6,1,2
miniature_pinscher_11,22,2,15
american_bulldog_30,2,2,1
pomeranian_80,25,2,17
Bengal_129,6,1,2
havanese_59,17,2,11
scottish_terrier_111,31,2,21
scottish_terrier_194,31,2,21
leonberger_93,20,2,14
basset_hound_58,4,2,3
pomeranian_170,25,2,17
staffordshire_bull_terrier_190,35,2,23
miniature_pinscher_163,22,2,15
german_shorthaired_83,15,2,9
japanese_chin_139,18,2,12
Abyssinian_37,1,1,1
samoyed_20,30,2,20
keeshond_90,19,2,13
boxer_89,9,2,5
beagle_185,5,2,4
Sphynx_201,34,1,12
British_Shorthair_50,10,1,5
saint_bernard_37,29,2,19
chihuahua_45,11,2,6
Abyssinian_76,1,1,1
pug_192,26,2,18
wheaten_terrier_97,36,2,24
keeshond_108,19,2,13
Maine_Coon_140,21,1,7
Egyptian_Mau_106,12,1,6
yorkshire_terrier_118,37,2,25
pomeranian_42,25,2,17
wheaten_terrier_168,36,2,24
japanese_chin_176,18,2,12
chihuahua_99,11,2,6
japanese_chin_170,18,2,12
wheaten_terrier_74,36,2,24
Ragdoll_78,27,1,9
leonberger_148,20,2,14
japanese_chin_28,18,2,12
wheaten_terrier_127,36,2,24
german_shorthaired_65,15,2,9
leonberger_91,20,2,14
Sphynx_4,34,1,12
english_setter_164,14,2,8
Abyssinian_56,1,1,1
chihuahua_14,11,2,6
keeshond_92,19,2,13
Persian_100,24,1,8
german_shorthaired_28,15,2,9
Abyssinian_124,1,1,1
Siamese_144,33,1,11
Siamese_64,33,1,11
pug_63,26,2,18
Siamese_202,33,1,11
american_bulldog_203,2,2,1
english_setter_32,14,2,8
Abyssinian_122,1,1,1
Russian_Blue_183,28,1,10
British_Shorthair_164,10,1,5
havanese_138,17,2,11
boxer_121,9,2,5
wheaten_terrier_142,36,2,24
Ragdoll_79,27,1,9
saint_bernard_48,29,2,19
scottish_terrier_124,31,2,21
wheaten_terrier_49,36,2,24
keeshond_35,19,2,13
havanese_28,17,2,11
Ragdoll_199,27,1,9
great_pyrenees_117,16,2,10
havanese_15,17,2,11
havanese_36,17,2,11
boxer_197,9,2,5
beagle_75,5,2,4
British_Shorthair_258,10,1,5
chihuahua_132,11,2,6
saint_bernard_125,29,2,19
leonberger_29,20,2,14
american_pit_bull_terrier_25,3,2,2
great_pyrenees_88,16,2,10
keeshond_133,19,2,13
scottish_terrier_137,31,2,21
miniature_pinscher_16,22,2,15
german_shorthaired_195,15,2,9
Russian_Blue_177,28,1,10
american_pit_bull_terrier_59,3,2,2
boxer_149,9,2,5
Bombay_100,8,1,4
pomeranian_15,25,2,17
english_setter_197,14,2,8
British_Shorthair_3,10,1,5
Ragdoll_107,27,1,9
havanese_26,17,2,11
beagle_129,5,2,4
shiba_inu_51,32,2,22
staffordshire_bull_terrier_114,35,2,23
english_cocker_spaniel_114,13,2,7
german_shorthaired_199,15,2,9
miniature_pinscher_58,22,2,15
British_Shorthair_44,10,1,5
staffordshire_bull_terrier_126,35,2,23
wheaten_terrier_95,36,2,24
Abyssinian_153,1,1,1
miniature_pinscher_17,22,2,15
yorkshire_terrier_120,37,2,25
pomeranian_66,25,2,17
beagle_90,5,2,4
Sphynx_239,34,1,12
pug_17,26,2,18
British_Shorthair_90,10,1,5
saint_bernard_97,29,2,19
Egyptian_Mau_134,12,1,6
samoyed_12,30,2,20
British_Shorthair_278,10,1,5
basset_hound_74,4,2,3
boxer_132,9,2,5
havanese_18,17,2,11
Bengal_138,6,1,2
Sphynx_139,34,1,12
english_cocker_spaniel_180,13,2,7
Ragdoll_110,27,1,9
leonberger_173,20,2,14
Bombay_122,8,1,4
saint_bernard_24,29,2,19
Russian_Blue_115,28,1,10
beagle_74,5,2,4
Ragdoll_89,27,1,9
Russian_Blue_18,28,1,10
yorkshire_terrier_180,37,2,25
yorkshire_terrier_139,37,2,25
Abyssinian_110,1,1,1
japanese_chin_123,18,2,12
British_Shorthair_115,10,1,5
english_setter_71,14,2,8
wheaten_terrier_2,36,2,24
boxer_39,9,2,5
miniature_pinscher_80,22,2,15
British_Shorthair_177,10,1,5
Persian_103,24,1,8
Abyssinian_50,1,1,1
Bombay_66,8,1,4
Birman_165,7,1,3
Birman_9,7,1,3
British_Shorthair_22,10,1,5
boxer_61,9,2,5
great_pyrenees_136,16,2,10
english_cocker_spaniel_153,13,2,7
Bengal_103,6,1,2
Sphynx_203,34,1,12
pug_77,26,2,18
Russian_Blue_156,28,1,10
german_shorthaired_187,15,2,9
Egyptian_Mau_23,12,1,6
pug_22,26,2,18
Sphynx_55,34,1,12
saint_bernard_163,29,2,19
havanese_118,17,2,11
newfoundland_182,23,2,16
german_shorthaired_106,15,2,9
saint_bernard_60,29,2,19
leonberger_62,20,2,14
British_Shorthair_63,10,1,5
Ragdoll_196,27,1,9
Ragdoll_154,27,1,9
keeshond_66,19,2,13
Persian_263,24,1,8
german_shorthaired_75,15,2,9
British_Shorthair_174,10,1,5
english_cocker_spaniel_184,13,2,7
english_setter_70,14,2,8
Maine_Coon_39,21,1,7
havanese_116,17,2,11
american_bulldog_130,2,2,1
boxer_136,9,2,5
basset_hound_72,4,2,3
basset_hound_14,4,2,3
beagle_57,5,2,4
samoyed_43,30,2,20
basset_hound_69,4,2,3
miniature_pinscher_18,22,2,15
shiba_inu_38,32,2,22
samoyed_119,30,2,20
japanese_chin_101,18,2,12
japanese_chin_49,18,2,12
chihuahua_65,11,2,6
Maine_Coon_111,21,1,7
wheaten_terrier_148,36,2,24
British_Shorthair_99,10,1,5
basset_hound_23,4,2,3
wheaten_terrier_96,36,2,24
english_cocker_spaniel_137,13,2,7
english_cocker_spaniel_101,13,2,7
Ragdoll_86,27,1,9
Maine_Coon_64,21,1,7
British_Shorthair_106,10,1,5
english_cocker_spaniel_33,13,2,7
British_Shorthair_6,10,1,5
Bombay_86,8,1,4
Birman_72,7,1,3
Russian_Blue_207,28,1,10
newfoundland_29,23,2,16
samoyed_96,30,2,20
Ragdoll_117,27,1,9
chihuahua_34,11,2,6
great_pyrenees_17,16,2,10
american_bulldog_136,2,2,1
yorkshire_terrier_91,37,2,25
British_Shorthair_86,10,1,5
american_pit_bull_terrier_189,3,2,2
english_cocker_spaniel_145,13,2,7
newfoundland_40,23,2,16
american_pit_bull_terrier_66,3,2,2
beagle_198,5,2,4
Bombay_204,8,1,4
British_Shorthair_218,10,1,5
Birman_120,7,1,3
Bengal_175,6,1,2
american_bulldog_13,2,2,1
wheaten_terrier_1,36,2,24
shiba_inu_106,32,2,22
British_Shorthair_94,10,1,5
japanese_chin_126,18,2,12
pug_173,26,2,18
Birman_181,7,1,3
Sphynx_133,34,1,12
newfoundland_13,23,2,16
British_Shorthair_179,10,1,5
Abyssinian_165,1,1,1
beagle_104,5,2,4
english_cocker_spaniel_126,13,2,7
boxer_10,9,2,5
newfoundland_62,23,2,16
wheaten_terrier_68,36,2,24
Persian_187,24,1,8
scottish_terrier_33,31,2,21
basset_hound_121,4,2,3
pug_93,26,2,18
samoyed_49,30,2,20
Russian_Blue_197,28,1,10
beagle_73,5,2,4
american_pit_bull_terrier_90,3,2,2
basset_hound_1,4,2,3
Ragdoll_261,27,1,9
boxer_79,9,2,5
leonberger_70,20,2,14
keeshond_86,19,2,13
yorkshire_terrier_175,37,2,25
pug_34,26,2,18
staffordshire_bull_terrier_134,35,2,23
wheaten_terrier_94,36,2,24
Abyssinian_79,1,1,1
Bombay_134,8,1,4
leonberger_41,20,2,14
Birman_149,7,1,3
english_setter_5,14,2,8
english_setter_180,14,2,8
staffordshire_bull_terrier_171,35,2,23
newfoundland_138,23,2,16
miniature_pinscher_13,22,2,15
saint_bernard_124,29,2,19
Persian_185,24,1,8
american_bulldog_166,2,2,1
Egyptian_Mau_79,12,1,6
wheaten_terrier_66,36,2,24
Russian_Blue_98,28,1,10
shiba_inu_52,32,2,22
wheaten_terrier_190,36,2,24
english_setter_134,14,2,8
Bombay_130,8,1,4
leonberger_128,20,2,14
Russian_Blue_86,28,1,10
pug_130,26,2,18
english_cocker_spaniel_122,13,2,7
staffordshire_bull_terrier_139,35,2,23
Russian_Blue_164,28,1,10
american_pit_bull_terrier_137,3,2,2
Siamese_100,33,1,11
Maine_Coon_184,21,1,7
great_pyrenees_176,16,2,10
english_setter_151,14,2,8
great_pyrenees_190,16,2,10
yorkshire_terrier_184,37,2,25
staffordshire_bull_terrier_202,35,2,23
miniature_pinscher_141,22,2,15
pug_51,26,2,18
newfoundland_59,23,2,16
american_bulldog_2,2,2,1
staffordshire_bull_terrier_188,35,2,23
scottish_terrier_147,31,2,21
Maine_Coon_170,21,1,7
pug_140,26,2,18
japanese_chin_105,18,2,12
yorkshire_terrier_117,37,2,25
Russian_Blue_118,28,1,10
keeshond_71,19,2,13
Ragdoll_153,27,1,9
japanese_chin_71,18,2,12
great_pyrenees_2,16,2,10
great_pyrenees_59,16,2,10
japanese_chin_106,18,2,12
samoyed_30,30,2,20
Persian_126,24,1,8
havanese_57,17,2,11
staffordshire_bull_terrier_44,35,2,23
keeshond_183,19,2,13
Maine_Coon_222,21,1,7
pomeranian_130,25,2,17
english_cocker_spaniel_127,13,2,7
British_Shorthair_168,10,1,5
Birman_123,7,1,3
japanese_chin_169,18,2,12
beagle_23,5,2,4
Maine_Coon_10,21,1,7
Bengal_102,6,1,2
Maine_Coon_193,21,1,7
Sphynx_130,34,1,12
Persian_27,24,1,8
english_setter_156,14,2,8
Bombay_101,8,1,4
scottish_terrier_39,31,2,21
english_cocker_spaniel_110,13,2,7
Egyptian_Mau_54,12,1,6
newfoundland_76,23,2,16
samoyed_113,30,2,20
yorkshire_terrier_4,37,2,25
wheaten_terrier_30,36,2,24
scottish_terrier_3,31,2,21
Maine_Coon_153,21,1,7
havanese_48,17,2,11
japanese_chin_111,18,2,12
yorkshire_terrier_99,37,2,25
great_pyrenees_104,16,2,10
Bengal_97,6,1,2
miniature_pinscher_95,22,2,15
Abyssinian_156,1,1,1
British_Shorthair_114,10,1,5
boxer_156,9,2,5
leonberger_18,20,2,14
scottish_terrier_104,31,2,21
yorkshire_terrier_130,37,2,25
pomeranian_104,25,2,17
Birman_88,7,1,3
Maine_Coon_108,21,1,7
great_pyrenees_123,16,2,10
Abyssinian_114,1,1,1
shiba_inu_210,32,2,22
Abyssinian_72,1,1,1
Birman_95,7,1,3
basset_hound_200,4,2,3
miniature_pinscher_193,22,2,15
keeshond_190,19,2,13
Siamese_28,33,1,11
Egyptian_Mau_26,12,1,6
Sphynx_249,34,1,12
beagle_95,5,2,4
saint_bernard_111,29,2,19
beagle_41,5,2,4
samoyed_151,30,2,20
leonberger_81,20,2,14
Abyssinian_12,1,1,1
shiba_inu_58,32,2,22
Birman_180,7,1,3
german_shorthaired_138,15,2,9
chihuahua_43,11,2,6
american_bulldog_117,2,2,1
staffordshire_bull_terrier_31,35,2,23
english_setter_27,14,2,8
leonberger_154,20,2,14
Bombay_127,8,1,4
Sphynx_199,34,1,12
keeshond_54,19,2,13
Bengal_72,6,1,2
american_pit_bull_terrier_29,3,2,2
shiba_inu_29,32,2,22
american_bulldog_140,2,2,1
staffordshire_bull_terrier_87,35,2,23
beagle_37,5,2,4
Maine_Coon_269,21,1,7
Ragdoll_265,27,1,9
Birman_179,7,1,3
Sphynx_78,34,1,12
Ragdoll_112,27,1,9
great_pyrenees_72,16,2,10
pug_15,26,2,18
pomeranian_17,25,2,17
beagle_17,5,2,4
keeshond_53,19,2,13
leonberger_126,20,2,14
miniature_pinscher_36,22,2,15
samoyed_82,30,2,20
american_pit_bull_terrier_117,3,2,2
British_Shorthair_212,10,1,5
english_setter_99,14,2,8
basset_hound_95,4,2,3
english_setter_2,14,2,8
english_cocker_spaniel_18,13,2,7
american_pit_bull_terrier_118,3,2,2
wheaten_terrier_125,36,2,24
